nom,description,competence_id
imiter,"A partir d'un outil de maquettage désigné, reproduire une maquette réalisée sur le même outil.

- Décrire les éléments de la charte graphique utilisée ainsi que les éléments de sécurité prévus.

- Formaliser les enchaînements des interfaces en s'inspirant du modèle fourni.

- Être capable de montrer que la maquette s'adapte à des équipements mobiles.

- Être capable de justifier le choix de l'ergonomie pour une expérience utilisateur réussie.",1
adapter,"A partir d'un outil de maquettage désigné, reproduire une maquette réalisée sur le même outil :

- Décrire les éléments de la charte graphique utilisée ainsi que les éléments de sécurité prévus.

- Formaliser les enchaînements des interfaces en s'inspirant du modèle fourni.

- Être capable de montrer que la maquette s'adapte à des équipements mobiles.

- Être capable de justifier le choix de l'ergonomie pour une expérience utilisateur ciblée.

- Être capable de justifier le lien entre les interfaces réalisées et des cas d’utilisation ou scénarios utilisateurs.

- Ajouter de nouvelles interfaces correspondantes à d'autres cas d'utilisation en respectant les critères précédents de charte graphique, de sécurité, d'ergonomie et d'adaptabilité.",1
transposer,"À partir de cas d'utilisation ou de scénarios utilisateur, de la charte graphique et des exigences de sécurité identifiées, concevoir la maquette des interfaces utilisateurs de l’application, avec du contenu en langue française ou anglaise, y compris celles appropriées à l’équipement ciblé et en tenant compte de l’expérience utilisateur et pour un équipement mobile des spécificités ergonomiques.

Formaliser les enchaînements des interfaces afin que l’utilisateur les valide ainsi que les maquettes.

Description de la compétence – processus de mise en œuvre
À partir de cas d'utilisation ou de scénarios utilisateur, de la charte graphique et des exigences de sécurité identifiées, concevoir la maquette des interfaces utilisateurs de l’application, avec du contenu en langue française ou anglaise, y compris celles appropriées à l’équipement ciblé et en tenant compte de l’expérience utilisateur et pour un équipement mobile des spécificités ergonomiques.

Formaliser les enchaînements des interfaces afin que l’utilisateur les valide ainsi que les maquettes.

Contexte(s) professionnel(s) de mise en œuvre
Le maquettage intervient en phase de conception avec une forte implication de l'utilisateur final, actuel ou futur, et dans une démarche itérative centrée sur l'expérience utilisateur (approche Agile).

Chaque itération permet d'enrichir et de finaliser la maquette, afin que l’utilisateur valide l’interface graphique de l’application et en retrouve les principales fonctionnalités tout au long du cycle de développement.

Les itérations peuvent donner lieu à des ateliers de présentation aux utilisateurs.

Le maquettage intervient pour des applications sur des supports et environnements multiples.",1
imiter,"A partir d'une expression de besoin (maquette) et d'une interface utilisateur statique existante :

- J'adapte le contenu de l'interface (changer le texte, ...)

- J'apporte des changements mineurs dans la structure de l'interface (je rajoute un titre, un paragraphe, ...)

- J'adapte la mise en forme de l'interface (changer la couleur d'un titre, changer la police, ...)",2
adapter,"A partir d'une expression de besoin (maquette) et d'une interface utilisateur statique existante (réalisée personnellement ou fournie par l'équipe pédagogique) :

- J'apporte des changements majeurs à la structure de l'interface (ajout de nouveaux blocs fonctionnels, suppression de blocs fontionnels existants, ...)

- J'ajoute des pages à mon interface

- J'ajoute des règles de mise en forme",2
transposer,"À partir de la maquette de l’interface à réaliser, de la charte graphique et à l'aide d'un langage de présentation, créer les pages web statiques et adaptables, y compris pour les équipements mobiles, afin d’obtenir un rendu visuel optimisé et adapté à l’équipement de l’utilisateur et à l’ensemble des navigateurs ciblés. Respecter les bonnes pratiques de structuration et de sécurité ainsi que les contraintes de l'architecture du matériel cible. Publier les pages web sur un serveur et les rendre visibles sur les moteurs de recherche. Rechercher des solutions pertinentes pour la résolution de problèmes techniques de rendu et d'accessibilité en utilisant de la documentation en langue française ou anglaise. Partager le résultat de sa veille avec ses pairs.",2
imiter,"À partir d'un site existant développé à l'aide d'une solution de gestion de contenu ou e-commerce, créer une copie conforme qui utilise le même thème et les mêmes fonctionnalités. Les modifications se feront via le back-office.
Le site sera publié sur un serveur et plusieurs comptes utilisateurs (avec plusieurs rôles) seront mis en place.",3
adapter,"À partir d'un site existant développé à l'aide d'une solution de gestion de contenu ou e-commerce, créer une copie conforme qui utilise le même thème et les mêmes fonctionnalités. Les modifications se feront via le back-office.
Le site sera publié sur un serveur et plusieurs comptes utilisateurs (avec plusieurs rôles) seront mis en place.",3
transposer,"À partir d’un besoin client, installer, paramétrer ou maintenir une solution de gestion de contenu ou d’e- commerce afin de réaliser de manière facilitée un site vitrine ou une boutique en ligne, créer les différents comptes utilisateurs avec leurs droits et rôles dans le respect des règles de sécurité, créer ou adapter la structure du site ou de la boutique afin de permettre à l’utilisateur d’en gérer le contenu et d’en suivre l’activité.

Personnaliser l’aspect visuel du site ou de la boutique afin de respecter la charte graphique du client et d’être adapté à l’équipement de l’utilisateur, y compris mobile, et à l’ensemble des navigateurs ciblés.

Publier le site vitrine ou la boutique en ligne sur un serveur et le (la) rendre visible sur les moteurs de recherche.

Pratiquer une veille technologique, y compris en anglais, pour résoudre un problème technique ou mettre en œuvre une nouvelle fonctionnalité ainsi que pour s’informer sur la sécurité informatique et les vulnérabilités connues.

Partager le résultat de sa veille avec ses pairs.

Cette compétence s'exerce seul ou en équipe.

L’installation et le paramétrage se font via des pages d’administration des solutions de gestion de contenu ou d’e-commerce.",3
imiter,"À partir d'un site existant développé à l'aide d'une solution de gestion de contenu ou e-commerce, créer une copie conforme qui utilise le même thème et les mêmes fonctionnalités. Les modifications se feront via le back-office.
Le site sera publié sur un serveur et plusieurs comptes utilisateurs (avec plusieurs rôles) seront mis en place.",4
adapter,"À partir d'un site existant développé à l'aide d'une solution de gestion de contenu ou e-commerce, ajouter différentes fonctionnalités (multilingue, RGPD, suivi d'analyse, sécurité, SEO, SEM). Le thème devra être modifié pour respecter les spécifications techniques.
Le site sera publié sur un serveur et plusieurs comptes utilisateurs (avec plusieurs rôles) seront mis en place.",4
